thaneEV
Name,Address,Contact,Charging slots,Charging port type,Latitude,Longitude
Heritage Motors Charging Station,3/4  Meena Apartment  Panchpakhadi  Eastern Expressway Highway  Pokran Upvan,18008332233,DC - 2 Slots - CHAdeMO (Level 3) DC - 2 Slots - CCS2(V1) (Level 3),"CCS-2, CHAdeMO",19.110709,72.915314
Croma - Thane,"Thane West, Thane",,GB/T,,,
Tata Power - (Inderjit Cars Andheri) Charging Station,1059/1060 Adarsh nagar near infinity mall Off New Link Road,18008332233,"Slots - 4 ( CCS-2, CHADEMO-2,)","CCS-II, CHAdeMO",19.08049,72.877234
"Lodha Business Park, Amara MLCP (Private-Only for residents)","Kolshet Rd, Kolshet Industrial Area, Thane West, Thane",18008332233,Slots - 4,AC TYPE 2,19.106178,72.921204
Lodha Sterling (Private Charger),"Kolshet Rd, Sandoz Baug, Thane West",9223581898,Slot - 2,AC Type-2,19.104708,72.920532
Lodha Upper Thane Anjur,"Lodha Upper Thane, Anjur , Surai, Mankoli, Bhiwandi",9223581898,"Slot - 9 (Bharat AC-3,TypeII-2,","Bharat AC001, Type 2",19.040368,72.873737
Tata Power - TPSDI Ambernath Charging Station (Private - For Restricted Use Only),"The Tata Power Company Ltd. Ambernath Receiving Station, Murad Road, Varap, PO (Via) Kalyan",8527000290,Slot - 1,AC PLUG POINT,19.190647,73.122559
HPCL Police Petrol Pump Ambernath,"CTC No. 3283(P), S NO. 206/101, Village, Ambernath Taluka",8527000290,slots - 1,,19.189575,73.125427
HPCL Sai Petroleum Katai Naka,SURVEY NO 80 SH-41 SHIL KALYAN ROAD VILLAGE KATAI TALUKA KALYAN  DIST THANE,9223581898,slots - 1,CCS-2,19.230804,73.152954
Lodha Experial Mall Palava,Lodha Xperia Mall Mall Office Basement Level Kalyan - Shilphata Rd Palava Dombivli,9223581898,Slot - 3,AC Type-2,19.321288,73.110046
Lodha Palava 2 Sec 4 Khoni(Private-For Resident only),Near Lodha World School Kalyan - Shilphata Rd Dombivli,18008332233,Slots - 4 (TypeII-2),Type 2,19.322388,73.109314
Lodha Palava1Casa Bella & Bella Gold Dombivali(Private-For Resident only),Near Lodha World School Kalyan - Shilphata Rd Dombivli,9223581898,slots - 1,AC Type-2,19.322754,73.108948
Lodha Palava 1 Casa Rio Dombivali(Private-For Resident only),Near Lodha World School Kalyan - Shilphata Rd Dombivli,18008332233,Slots - 2,Type 2,19.322986,73.108826
"Lodha i Think - Simtools, Chirak Nagar (Private Charger)","Off, Eastern Express Hwy, Chirak Nagar",9223581898,Slot 4,AC Type-2,19.087956,72.881775
Lodha Amara Charging Station,"Lodha Amara, Plot C Kolshet Rd , Kolshet Rd, Kolshet Industrial Area, Thane West",9223581898,"Slot 21 (Bharat Ac-3, type2-18)","Bharat AC001, Type 2",19.106445,72.921387
Lodha Amera Plot C Kolshet Road (Private-Only For Residents),"Kolshet Rd, Kolshet Industrial Area, Thane West, Thane",9223581898,Slot 12,"AC Type-2, Bharat AC001",19.106178,72.921204
"Whitefield CHS,Thane West (Private Charger)","HIRANANDANI MEADOWS, Manpada, Thane West",9223581898,slots - 5,"AC Type-2, Bharat AC001",19.0575,72.907
Audei Service Than,"Audei Service Than, ICEM Engineering Compound Mohanji Sunderji Road, Raghunath Nagar",,,,19.113522,72.912964
MG - Tejpal Motors Pvt Ltd,"Tejpal Motors Pvt Ltd, Near Universal Petrol Pump, Majiwada, Western Extrusion Industries, Near Capital Hotel",9860667667,,,19.202421,72.927002
