Table 1
,,,,,,
Name,Location,Charging Slots,Plugs,Contact,Latitude,Longitude
Chai Kings,"Sai Baba Colony No 564 and 567 NSR Road, Coimbatore, Tamil nadu, 641038",2,3PIN-15AMP Socket (Level 1),91984226161,11.033305,76.923157
Mugs and Brews,"23A Thudiyalur Road Sivashakti Nagar Saravanampatti, Coimbatore, Tamil nadu, 641035",2,3PIN-15AMP Socket (Level 1),91944406666,11.02195,76.943307
Electric Vehicle Charging Station,"No. 145/1A, 1B, 1C, 1D, Avinashi Road Neelambur, Sulur Taluk Coimbatore",1,3PIN-15AMP Socket (Level 1),9742211172,11.022184,76.932827
Shanmuga Building Opposite To Central Studio Trichy Main Road Singanallur Coimbatore,Shanmuga Building Opposite To Central Studio Trichy Main Road Singanallur Coimbatore,1,3PIN-15AMP Socket (Level 1),919894626161,11.035435,76.909753
Hotel Grand Ashok,"72, Avinashi Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",1,Type 2 AC (Level 2),91422335555,11.031756,76.920367
Hotel Saravana Bhavan,"145/1B, Avinashi Road, Neelambur, Sulur Taluk, Coimbatore, Tamil Nadu 641009",1,Type 2 AC (Level 2),91422888888,11.025544,76.934326
Hotel Tamil Nadu Tourism,"124, Avinashi Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",1,Type 2 AC (Level 2),91422343333,11.031785,76.920074
Hotel Taj The Gateway Coimbatore,"111, Avinashi Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",2,Type 2 AC (Level 2),91422351515,11.031518,76.92002
Hotel The Park Coimbatore,"17, R.S. Puram, Coimbatore, Tamil Nadu 641002",2,Type 2 AC (Level 2),91422202202,11.031295,76.92002
EV Charging Station,"20, Race Course Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",2,3PIN-15AMP Socket (Level 1),91944321001,11.031337,76.920587
EV Charging Station,"100, R.S. Puram, Coimbatore, Tamil Nadu 641002",2,3PIN-15AMP Socket (Level 1),91944406666,11.031785,76.920074
EV Charging Station,"30, Race Course Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",2,3PIN-15AMP Socket (Level 1),91944321001,11.031369,76.920166
EV Charging Station,"56, Race Course Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",2,3PIN-15AMP Socket (Level 1),91944321001,11.031454,76.92005
EV Charging Station,"1, Race Course Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",2,3PIN-15AMP Socket (Level 1),91944321001,11.031417,76.920111
Chettinad Academy,"18, Race Course Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",2,3PIN-15AMP Socket (Level 1),91944321001,11.031356,76.920133
EV Charging Station,"106, Avinashi Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",2,3PIN-15AMP Socket (Level 1),91944321001,11.031359,76.920181
EV Charging Station,"44, Avinashi Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",2,3PIN-15AMP Socket (Level 1),91944321001,11.031369,76.920156
EV Charging Station,"12, Avinashi Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",2,3PIN-15AMP Socket (Level 1),91944321001,11.031291,76.920201
EV Charging Station,"4, Avinashi Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",2,3PIN-15AMP Socket (Level 1),91944321001,11.03138,76.920052
EV Charging Station,"36, Avinashi Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",2,3PIN-15AMP Socket (Level 1),91944321001,11.031295,76.92017
EV Charging Station,"30, Avinashi Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",2,3PIN-15AMP Socket (Level 1),91944321001,11.031291,76.920184
EV Charging Station,"2, Avinashi Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",2,3PIN-15AMP Socket (Level 1),91944321001,11.031321,76.920094
EV Charging Station,"100, Avinashi Road, R.S. Puram, Coimbatore, Tamil Nadu 641002",2,3PIN-15AMP Socket (Level 1),91944406666,11.031355,76.920145
