kolkataEV
Name,Address,Contact,Number of slots,Type of slots,Latitude,longitude
EESL -  Electric Vehicle Charging Station,Opposite to Kuralagam  Parrys High Court Metro Station,9500785822,DC - 1 Slot - GBT (Level 3,GBT,12.970216,80.252946
Zulaikha Motors Charging Station,10/8  3rd Main Road  Below Telephone Exchange Bridge  Sai Nagar  Ambattur Industrial Estate,9742211172,AC - 6 Slots - 3PIN-15AMP Socket (Level 1),"CCS-II, CHAdeMO, Socket , 3PIN",13.2544,80.0088
Diselecti Automotive Pvt Ltd,60/2  61/2  East Coast Road  Chettiyar Agaram,9884866993,AC - 1 Slot - Type 2 (Level 2),AC TYPE 2,13.2544,80.0088
FPL - Vehicles Charging Station,No. 824 annasali nandnam charging station,18008332233,Slots - 4,CCS-II,13.0481744,80.2496475
Sait - Colony Charging Station,"26,Sait Colony 1st Street, Egmore",9789514174,Slots - 1,Bharat DC-001,13.079061,80.261084
Ginger - Hotel Vadapalani,61 Inner Ring Rd Thiru Nagar Colony NGO Colony,9742211172,Slots - 2,"CCS-II, CHAdeMO",13.073999,80.19392
Tata Power - (gurudev) Charging Station,"Old No. 90, New No. 1090, E.V.R. Periyar High Road",9742211172,Slot 2,"CCS-II, CHAdeMO",13.118285,80.25452
Fairfield - By Marriott Charging station,"Central Ave, Mahendra Word City, Maraimala Nagar, Cheeni",8527000290,Slot - 3,"CCS-II, AC PLUG POINT, CHAdeMO",12.957212,80.22376
Pumpkin - Tales Hotel Charging Station,"37,20, Bheemanna garden St, Alwarpet, Chennai",18008332233,Slots - 4,"CCS-II, CHAdeMO",13.033655,80.255285
Fairfield - by Marriott Charging Station,"Near Main Entrance, Mahindra World City",18008332233,Slot 6,"CCS-II, CHAdeMO, AC TYPE 2",12.730601,80.004612
Four Points by Sheraton Charging Station,"Survey No 169, Plot 1B and 1A, Rajiv Gandhi Salai, Kumaran Nagar, Sholinganallur, Chennai",18008332233,Slot 6,"CCS-2, CHAdeMO, Type 2",12.875508,80.227371
MEENAMBAKKAM Charging Station,"Great Southern Trunk Road, National Airports Authority Colony, Meenambakkam",9841824572,Slot 1,CCS-II,12.92278,80.115574
EESL Chennai Egmore metro Charging Station,"Chennai Egmore metro car parking, Egmore",7906001402,Slot 7,"CCS-II, CHAdeMO, AC TYPE 2, Bharat DC-001",13.079097,80.261538
EESL - Anna Nagar East Station,"Anna Nagar east metro car parking area,(near bus stop), Anna Nagar,",18001803580,Slot 4,Bharat AC001,13.084713,80.219897
EESL - Koyambedu Charging Station,"Koyambedu metro station car parking area, Koyambedu",18008332233,Slot 4,CCS-II,13.074043,80.195354
TML Sree Gokulam Motors Kattuppakkam Charging Station,no 2/232 Mount ponamalle roadSwaminatha nagar Pushpa Nagar Kattupakkam,18008332233,slots - 2,CCS-II,13.0416728,80.125524
TML Sree Gokulam Motors Charging Station,"No.93,3C,200 Feet Redial Road, Zamin Pallavaram",18008332233,Slot 4,"CCS-II, CHAdeMO",12.948676,80.193021
Tata Power - (Lakshmi Motors) Charging Station,79 80 81 NEAR WAVIN BUS STOP Ambattur Industrial Estate,9742211172,slots - 3,"CCS-II, Bharat DC001 GB/T, CHAdeMO",13.0765,80.237264
Taj Vivanta Chennai(Private Charging),"Expressway Chennai Taj Connemara, Binny Road",9742211172,Slot 2,AC PLUG POINT,13.063038,80.261725
"Thalappakatti Hotels, OMR","Plot. 18 Old Mahabalipuram Rd, Nehru Rd, Nehru, Nagar, sri Soweswari Nagar",9742211172,Slot - 4,"CCS-II, Bharat AC001",12.925779,80.230527
MG - Motors (FPL Vehicles),"no. 824/2, Anna Salai",9742211172,Slots - 2,CCS-II,13.06703,80.272009
Taj Coromandel Chennai,No 37 Mg Road Nungambakkam Chennai,9223581898,Slots - 2,CCS-II,13.0582493,80.247392
"The Park, Anna Salai","601, Anna Salai",9246419559,Slots - 2,"CCS-II, AC PLUG POINT",13.05274,80.250015
Taj Club House Chennai,"The Indian Hotels Company Limited 2, Club House Road, Chennai, Tamil Nadu",8527000290,Slots - 2,CCS-2,13.0615371,80.261825
Taj Connemara,"Biny Road, Anna Salai",8527000290,Slots-4,"CCS-II, AC PLUG POINT",13.06208,80.26291
Tata Power - (Lakshmi Motors) Charging Station,No 42 Velachery Main Rd Guindy National Park,9742211172,Slots-2,"CCS-II, CHAdeMO",13.00799,80.22155
Tata Power - Lakshmi Motors,"118, Okkiam, Thoraipakkam",18008332233,Slots - 4,"CCS-II, CHAdeMO",12.93015,80.23173
"Taj Fisherman's Cove Resort & Spa, Chengalpattu","Covelong Beach, Chengalpattu, Tamil Nadu",8527000290,Slots - 2,CCS-II,12.78799,80.25465
Tanishq Gopalapuram Charging Station,"No.100, Cathedral Rd, Gopalapuram, Chennai, Tamil Nadu",9742211172,slots - 5,"CCS-II, CHAdeMO, Bharat DC-001",13.047715,80.254143
Taj Wellington Mews,Taj Wellington Mews Ramanujan It City Rajiv Gandhi Salai Omr,8527000290,Slots - 2,CCS-2,12.991092,80.250242
